run,date,cash,market_value,equity,n_pos,exposure_pct
nb_vol07,2025-07-21,5263.85,5470.64,10734.49,2,50.963
nb_vol07,2025-07-22,5263.85,5563.29,10827.14,2,51.383
nb_vol07,2025-07-23,5263.85,5465.1,10728.95,2,50.938
nb_vol07,2025-07-24,5263.85,5563.58,10827.43,2,51.384
nb_vol07,2025-07-25,5263.85,5488.42,10752.27,2,51.044
nb_vol07,2025-07-28,5263.85,5492.44,10756.29,2,51.063
nb_vol07,2025-07-29,5263.85,5462.79,10726.64,2,50.927
nb_vol07,2025-07-30,5263.85,5435.17,10699.02,2,50.801
nb_vol07,2025-07-31,7859.8,2753.19,10612.99,1,25.942
nb_vol07,2025-08-01,4607.08,6015.0,10622.08,2,56.627
nb_vol07,2025-08-04,4607.08,6023.74,10630.82,2,56.663
nb_vol07,2025-08-05,4607.08,6134.64,10741.73,2,57.11
nb_vol07,2025-08-06,4607.08,6129.21,10736.29,2,57.089
nb_vol07,2025-08-07,4607.08,6127.74,10734.82,2,57.083
nb_vol07,2025-08-08,4607.08,6228.71,10835.79,2,57.483
nb_vol07,2025-08-11,4607.08,6264.23,10871.31,2,57.622
nb_vol07,2025-08-12,4607.08,6284.37,10891.45,2,57.7
nb_vol07,2025-08-13,4607.08,6347.04,10954.12,2,57.942
nb_vol07,2025-08-14,4607.08,6282.91,10889.99,2,57.694
nb_vol07,2025-08-15,4607.08,6502.21,11109.29,2,58.529
nb_vol07,2025-08-18,4607.08,6437.96,11045.04,2,58.288
nb_vol07,2025-08-19,4607.08,6428.96,11036.04,2,58.254
nb_vol07,2025-08-20,4607.08,6458.36,11065.44,2,58.365
nb_vol07,2025-08-21,4607.08,6408.67,11015.75,2,58.177
nb_vol07,2025-08-22,4607.08,6454.91,11061.99,2,58.352
nb_vol07,2025-08-25,4607.08,6666.26,11273.34,2,59.133
nb_vol07,2025-08-26,4607.08,6757.81,11364.9,2,59.462
nb_vol07,2025-08-27,4607.08,6599.09,11206.17,2,58.888
nb_vol07,2025-08-28,4607.08,6711.87,11318.95,2,59.298
nb_vol07,2025-08-29,7945.03,3228.29,11173.32,1,28.893
nb_vol07,2025-09-01,7945.03,3208.41,11153.44,1,28.766
nb_vol07,2025-09-02,4895.3,6121.77,11017.07,2,55.566
nb_vol07,2025-09-03,7963.66,2980.8,10944.46,1,27.236
nb_vol07,2025-09-04,8455.82,2251.18,10707.0,1,21.025
nb_vol07,2025-09-05,7599.2,3217.4,10816.6,1,29.745
nb_vol07,2025-09-08,5650.98,5259.51,10910.49,2,48.206
nb_vol07,2025-09-09,5650.98,5092.68,10743.67,2,47.402
nb_vol07,2025-09-10,5650.98,5173.51,10824.5,2,47.794
nb_vol07,2025-09-11,5650.98,5376.21,11027.2,2,48.754
nb_vol07,2025-09-12,5650.98,5358.28,11009.27,2,48.671
nb_vol07,2025-09-15,5255.39,5694.51,10949.9,2,52.005
nb_vol07,2025-09-16,5255.39,5740.87,10996.26,2,52.207
nb_vol07,2025-09-17,5255.39,5789.7,11045.09,2,52.419
nb_vol07,2025-09-18,8651.25,2395.56,11046.81,1,21.686
nb_vol07,2025-09-19,5925.48,5122.26,11047.74,2,46.365
nb_vol07,2025-09-22,4424.13,6817.08,11241.2,3,60.644
nb_vol07,2025-09-23,7222.89,3804.91,11027.8,2,34.503
nb_vol07,2025-09-24,7222.89,3864.65,11087.54,2,34.856
nb_vol07,2025-09-25,7222.89,4017.72,11240.61,2,35.743
nb_vol07,2025-09-26,7222.89,3923.31,11146.2,2,35.199
nb_vol07,2025-09-29,4453.45,6814.72,11268.17,3,60.478
nb_vol07,2025-09-30,4453.45,6976.35,11429.8,3,61.037
nb_vol07,2025-10-09,4453.45,7414.19,11867.64,3,62.474
nb_vol07,2025-10-10,9687.52,1931.95,11619.48,1,16.627
nb_vol07,2025-10-13,9362.83,2209.6,11572.43,1,19.094
nb_vol07,2025-10-14,9362.83,2077.92,11440.75,1,18.162
nb_vol07,2025-10-15,2951.51,8668.59,11620.1,3,74.6
nb_vol07,2025-10-16,2951.51,8569.31,11520.82,3,74.381
nb_vol07,2025-10-17,1961.66,9205.96,11167.63,3,82.434
nb_vol07,2025-10-20,1961.66,9515.95,11477.62,3,82.909
